Product_ID,Product_Name,Category,Quantity_Available,Reorder_Level,Supplier_Name,Restock_Date,Unit_Price,Warehouse_Location,SKU
PROD000001,Foundation,Beauty,896,23,Johnson-Kelly,30-04-2025,416.38,WH-6,SKU921609
PROD000002,Sneakers,Clothing,137,100,"Mccormick, Dillon and Baker",28-04-2025,347.56,WH-12,SKU549591
PROD000003,Lamp,Home,635,55,"Harvey, Moran and Craig",17-05-2025,353.08,WH-10,SKU569710
PROD000004,Shampoo,Beauty,686,54,"Pearson, Dougherty and Rogers",24-04-2025,252.02,WH-10,SKU108827
PROD000005,Sofa,Home,879,67,Patel Group,20-04-2025,62.03,WH-20,SKU922767
PROD000006,Sofa,Home,557,22,Peterson LLC,18-04-2025,382.76,WH-9,SKU275211
PROD000007,Lipstick,Beauty,116,17,Nichols-Melendez,22-04-2025,44.39,WH-10,SKU750539
PROD000008,Smartphone,Electronics,880,53,Branch-Hernandez,09-06-2025,420.79,WH-14,SKU524263
PROD000009,Laptop,Electronics,42,55,Williams Ltd,14-05-2025,416.53,WH-20,SKU933803
PROD000010,Headphones,Electronics,632,81,Bryant-Blevins,14-05-2025,146.24,WH-17,SKU760584
PROD000011,Dress,Clothing,62,14,Jackson Group,13-05-2025,432.31,WH-6,SKU929706
PROD000012,Foundation,Beauty,502,67,"Thomas, Collins and Silva",27-05-2025,292.57,WH-18,SKU174400
PROD000013,Lotion,Beauty,63,46,"Roman, Dudley and Silva",13-05-2025,71.39,WH-1,SKU949666
PROD000014,Jeans,Clothing,825,99,Collins Group,16-04-2025,185.5,WH-6,SKU292489
PROD000015,Chair,Home,442,25,Matthews PLC,03-06-2025,186.54,WH-5,SKU371362
PROD000016,Jacket,Clothing,893,40,Wolfe-Frost,23-05-2025,203.86,WH-2,SKU811867
PROD000017,Yoga Mat,Sports,966,22,Hudson LLC,03-05-2025,43.53,WH-17,SKU805197
PROD000018,Shampoo,Beauty,200,73,"Berry, Lopez and Kelly",30-05-2025,59.5,WH-15,SKU757261
PROD000019,Camera,Electronics,738,26,Blackwell-Johnston,28-04-2025,482.02,WH-20,SKU532314
PROD000020,Headphones,Electronics,127,17,"Flynn, Moon and Lewis",17-04-2025,23.29,WH-16,SKU660751
PROD000021,Headphones,Electronics,245,50,"Wells, Cole and Bond",15-05-2025,282.09,WH-11,SKU425188
PROD000022,Jeans,Clothing,702,33,"Camacho, Zamora and Stephens",02-06-2025,51.47,WH-20,SKU595621
PROD000023,Laptop,Electronics,663,17,Smith-Harmon,06-05-2025,374.33,WH-8,SKU550725
PROD000024,Chair,Home,971,14,"Austin, Edwards and Vazquez",18-05-2025,210.94,WH-20,SKU810566
PROD000025,Jeans,Clothing,955,34,Lopez-Frazier,07-06-2025,366.18,WH-16,SKU331077
PROD000026,Chair,Home,827,72,"Evans, Rivera and Grimes",11-06-2025,453.16,WH-1,SKU222561
PROD000027,Bed,Home,283,92,Ramirez LLC,26-04-2025,432.78,WH-17,SKU428915
PROD000028,Foundation,Beauty,234,20,"Smith, Clay and Castro",11-05-2025,92.34,WH-7,SKU498848
PROD000029,Lipstick,Beauty,608,58,"Burke, Harvey and Marshall",28-04-2025,72.77,WH-10,SKU866244
PROD000030,Yoga Mat,Sports,591,56,Brewer Ltd,29-04-2025,317.59,WH-15,SKU691870
PROD000031,Tablet,Electronics,745,52,"Bush, Martin and Young",07-06-2025,98.21,WH-16,SKU895570
PROD000032,Football,Sports,806,92,Arroyo Group,30-05-2025,76.44,WH-10,SKU979568
PROD000033,Shirt,Clothing,756,71,Bennett-Jackson,05-06-2025,222.46,WH-2,SKU880772
PROD000034,Laptop,Electronics,450,35,Bowen-Schmidt,24-05-2025,165.84,WH-10,SKU607858
PROD000035,Dumbbells,Sports,78,87,"Deleon, Nunez and Mitchell",26-05-2025,64.42,WH-14,SKU327218
PROD000036,Foundation,Beauty,921,78,Mercado-Barrett,29-05-2025,387.43,WH-19,SKU861122
PROD000037,Dress,Clothing,213,15,"Rose, Kemp and Taylor",06-05-2025,175.6,WH-2,SKU906582
PROD000038,Bed,Home,966,32,Thomas-Frank,26-04-2025,483.42,WH-3,SKU810521
PROD000039,Foundation,Beauty,337,70,"Hill, Bradley and Moon",08-06-2025,126.86,WH-1,SKU124203
PROD000040,Dress,Clothing,269,49,Silva-Thompson,09-05-2025,479.44,WH-7,SKU333501
PROD000041,Laptop,Electronics,752,34,Hall Group,02-05-2025,425.74,WH-8,SKU589309
PROD000042,Sofa,Home,620,39,Davis-Burton,27-05-2025,470.54,WH-2,SKU274269
PROD000043,Tennis Racket,Sports,794,80,Meadows Inc,25-05-2025,249.66,WH-19,SKU633898
PROD000044,Tablet,Electronics,262,51,Hansen PLC,03-06-2025,121.93,WH-3,SKU858561
PROD000045,Bed,Home,707,69,Smith PLC,01-06-2025,397.33,WH-6,SKU684409
PROD000046,Bed,Home,848,45,"Holder, Schultz and Brown",09-05-2025,325.1,WH-18,SKU507752
PROD000047,Foundation,Beauty,232,100,"Allen, Christian and Gaines",18-05-2025,210.84,WH-1,SKU704955
PROD000048,Laptop,Electronics,182,100,"Mason, Cox and Nash",06-06-2025,425.48,WH-19,SKU171672
PROD000049,Lipstick,Beauty,686,29,Perkins and Sons,15-04-2025,395.63,WH-18,SKU809659
PROD000050,Headphones,Electronics,403,37,Anderson and Sons,17-04-2025,118.83,WH-4,SKU398175
PROD000051,Tennis Racket,Sports,224,18,"Santana, Holt and Cooper",16-04-2025,480.29,WH-13,SKU207318
PROD000052,Dumbbells,Sports,0,78,Bell-Nixon,23-04-2025,406.85,WH-19,SKU921405
PROD000053,Chair,Home,293,33,"Gonzalez, Meyers and Davis",14-04-2025,352.23,WH-6,SKU330394
PROD000054,Shirt,Clothing,347,80,Brown and Sons,02-06-2025,178.75,WH-12,SKU560428
PROD000055,Perfume,Beauty,269,87,"Lester, Aguirre and Flores",30-04-2025,438.83,WH-18,SKU498895
PROD000056,Dumbbells,Sports,977,17,"Miller, Luna and Morrison",19-05-2025,418.79,WH-6,SKU965465
PROD000057,Tennis Racket,Sports,98,14,Chang-French,28-05-2025,20.32,WH-6,SKU487503
PROD000058,Perfume,Beauty,350,42,Williams Ltd,15-05-2025,446.07,WH-1,SKU867485
PROD000059,Camera,Electronics,894,62,"Villegas, Costa and Moreno",24-05-2025,441.44,WH-11,SKU357065
PROD000060,Dress,Clothing,780,33,Logan Inc,13-05-2025,255.1,WH-17,SKU662419
PROD000061,Foundation,Beauty,44,34,"Conner, Garcia and Miranda",10-06-2025,26.67,WH-7,SKU683303
PROD000062,Smartphone,Electronics,727,47,"Morgan, Clay and Thompson",14-04-2025,23.09,WH-1,SKU657295
PROD000063,Lipstick,Beauty,978,27,Garcia Group,15-05-2025,55.93,WH-2,SKU929031
PROD000064,Table,Home,361,29,Anderson Inc,04-06-2025,129.25,WH-11,SKU290115
PROD000065,Headphones,Electronics,808,76,Stewart-Thomas,18-05-2025,432.61,WH-2,SKU943030
PROD000066,Tablet,Electronics,909,56,Moses-Cortez,11-06-2025,15.29,WH-10,SKU687556
PROD000067,Headphones,Electronics,345,32,Massey-Manning,11-06-2025,44.77,WH-5,SKU429215
PROD000068,Bed,Home,50,97,Walter PLC,12-05-2025,94.13,WH-10,SKU531199
PROD000069,Perfume,Beauty,114,52,Aguirre-Cook,07-05-2025,115.07,WH-6,SKU564461
PROD000070,Lamp,Home,903,48,"Alvarez, Johnson and Wallace",08-05-2025,245.73,WH-20,SKU665454
PROD000071,Tennis Racket,Sports,328,55,"Watson, Powell and Anderson",12-05-2025,15.61,WH-6,SKU285430
PROD000072,Yoga Mat,Sports,673,40,Lewis-Johnson,06-06-2025,238.77,WH-2,SKU495964
PROD000073,Jacket,Clothing,116,66,Hammond Ltd,08-06-2025,407.23,WH-1,SKU983218
PROD000074,Tennis Racket,Sports,927,32,Hawkins-Horne,29-04-2025,227.67,WH-15,SKU453812
PROD000075,Jeans,Clothing,962,68,"Davis, Reyes and Smith",03-05-2025,348.42,WH-8,SKU291468
PROD000076,Sofa,Home,63,76,Stevenson Inc,13-04-2025,433.59,WH-15,SKU698856
PROD000077,Tennis Racket,Sports,615,18,"Davis, Davis and Wright",24-05-2025,5.54,WH-11,SKU645014
PROD000078,Jacket,Clothing,154,30,Combs Inc,01-06-2025,221.21,WH-17,SKU474416
PROD000079,Dumbbells,Sports,970,75,Taylor-Cole,17-05-2025,20.68,WH-17,SKU939538
PROD000080,Jacket,Clothing,799,26,Mcintosh Group,23-04-2025,14.35,WH-4,SKU297795
PROD000081,Lotion,Beauty,448,74,"Carr, Gutierrez and Jefferson",13-05-2025,435.09,WH-2,SKU872109
PROD000082,Laptop,Electronics,228,87,"Smith, Howell and Watkins",28-05-2025,299.37,WH-12,SKU867057
PROD000083,Jeans,Clothing,431,46,"Boyd, Larson and Valentine",19-04-2025,43.65,WH-18,SKU391078
PROD000084,Smartphone,Electronics,502,44,"Hanson, Dunn and Johnson",20-05-2025,446.32,WH-11,SKU542359
PROD000085,Jacket,Clothing,900,26,"Smith, Curry and Lamb",18-05-2025,367.7,WH-1,SKU877468
PROD000086,Table,Home,90,93,Moore Ltd,09-06-2025,264.28,WH-2,SKU639711
PROD000087,Tablet,Electronics,368,37,Wilson-Kirk,17-04-2025,463.51,WH-14,SKU222715
PROD000088,Foundation,Beauty,995,30,Vasquez-Martin,19-05-2025,101.06,WH-17,SKU134146
PROD000089,Football,Sports,416,15,Collins LLC,22-04-2025,155.02,WH-17,SKU604822
PROD000090,Foundation,Beauty,585,19,Obrien Inc,10-06-2025,140.04,WH-4,SKU819592
PROD000091,Lotion,Beauty,55,35,Williams Group,03-06-2025,86.83,WH-17,SKU336539
PROD000092,Sneakers,Clothing,797,77,Henderson and Sons,25-05-2025,309.42,WH-16,SKU941275
PROD000093,Shirt,Clothing,701,26,Peters Inc,29-05-2025,252.53,WH-1,SKU929246
PROD000094,Yoga Mat,Sports,721,95,Miller-Herrera,03-06-2025,471.95,WH-6,SKU799132
PROD000095,Camera,Electronics,307,53,Petty-Hill,23-05-2025,379.36,WH-16,SKU843429
PROD000096,Perfume,Beauty,709,47,Ochoa-Guerra,15-04-2025,167.54,WH-12,SKU656238
PROD000097,Dress,Clothing,737,81,Hayes-Rush,10-06-2025,281.49,WH-20,SKU943528
PROD000098,Foundation,Beauty,869,77,Kelly-Santos,03-05-2025,207.42,WH-7,SKU840873
PROD000099,Lamp,Home,722,14,"Holder, Holt and Collins",24-04-2025,307.79,WH-3,SKU446975
PROD000100,Smartphone,Electronics,978,53,Mcconnell and Sons,29-05-2025,145.85,WH-16,SKU936039
PROD000101,Bed,Home,757,22,Nash-Williams,07-06-2025,61.43,WH-20,SKU416781
PROD000102,Jacket,Clothing,540,64,Taylor Group,26-05-2025,334.73,WH-8,SKU175277
PROD000103,Foundation,Beauty,889,32,Brown and Sons,10-06-2025,485.63,WH-20,SKU306147
PROD000104,Headphones,Electronics,498,67,Harris-Figueroa,16-04-2025,379.22,WH-13,SKU446369
PROD000105,Foundation,Beauty,653,53,Berry-Wagner,09-05-2025,185.56,WH-19,SKU844387
